Test run for C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll (.NETCoreApp,Version=v8.0)
A total of 1 test files matched the specified pattern.
C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll
[xUnit.net 00:00:00.00] xUnit.net VSTest Adapter v2.8.2+699d445a1a (64-bit .NET 8.0.24)
[xUnit.net 00:00:00.06]   Discovering: Hamlet.RadioEngine.Tests
[xUnit.net 00:00:00.23]   Discovered:  Hamlet.RadioEngine.Tests
[xUnit.net 00:00:00.24]   Starting:    Hamlet.RadioEngine.Tests
[xUnit.net 00:04:18.39]   Finished:    Hamlet.RadioEngine.Tests
  Passed Hamlet.RadioEngine.Tests.Cw.WhatPitchTheDecoderIsOnTests.OnEveryCaptureInTheTree [4 m 18 s]
  Standard Output Messages:
 window | unadjudicated/cw-2026-08-18-003758 | 13 to 15 s | instrument 499.1 | tracker 500.0 | mix 500.0 | measured 1.00 | err +0.9 | swing 42.4 dB | keyed 0.95 s
 window | unadjudicated/cw-2026-08-18-003758 | 14 to 16 s | instrument 498.9 | tracker 500.0 | mix 500.0 | measured 1.00 | err +1.1 | swing 42.4 dB | keyed 0.97 s
 window | unadjudicated/cw-2026-08-18-003758 | 15 to 17 s | instrument 499.7 | tracker 500.0 | mix 500.0 | measured 1.00 | err +0.3 | swing 38.4 dB | keyed 0.49 s
 window | unadjudicated/cw-2026-08-18-003758 | 19 to 21 s | instrument 498.0 | tracker 500.0 | mix 500.0 | measured 1.00 | err +2.0 | swing 36.7 dB | keyed 0.52 s
 window | unadjudicated/cw-2026-08-18-003758 | 20 to 22 s | instrument 499.9 | tracker 500.0 | mix 500.0 | measured 1.00 | err +0.1 | swing 43.6 dB | keyed 0.74 s
 window | unadjudicated/cw-2026-08-18-003758 | 21 to 23 s | instrument 497.7 | tracker 500.0 | mix 500.0 | measured 1.00 | err +2.3 | swing 40.7 dB | keyed 0.99 s
 window | unadjudicated/cw-2026-08-18-003758 | 22 to 24 s | instrument 500.9 | tracker 500.0 | mix 500.0 | measured 1.00 | err -0.9 | swing 40.0 dB | keyed 0.89 s
 window | unadjudicated/cw-2026-08-18-003758 | 23 to 25 s | instrument 499.9 | tracker 500.0 | mix 500.0 | measured 1.00 | err +0.1 | swing 41.2 dB | keyed 0.43 s
 window | unadjudicated/cw-2026-08-18-003758 | 27 to 29 s | instrument 497.6 | tracker 500.0 | mix 500.0 | measured 1.00 | err +2.4 | swing 17.6 dB | keyed 0.32 s
 window | unadjudicated/cw-2026-08-18-003758 | 28 to 30 s | instrument 497.2 | tracker 500.0 | mix 500.0 | measured 1.00 | err +2.8 | swing 32.3 dB | keyed 0.48 s
